Date,Region,Product,Units_Sold,Price_Point,Revenue,Competitor_Price,Weather,Promotion_Active
2023-01-02,West Delhi,Classic Potato Samosa,167,15,2505,15.99,Rainy,False
2023-01-02,West Delhi,Paneer Tikka Samosa,175,25,4375,22.96,Clear,False
2023-01-02,West Delhi,Spicy Chicken Samosa,71,30,2130,29.17,Clear,False
2023-01-02,West Delhi,Chocolate Fusion Samosa,19,45,855,43.56,Clear,False
2023-01-02,Noida,Classic Potato Samosa,144,15,2160,14.27,Clear,False
2023-01-02,Noida,Paneer Tikka Samosa,163,25,4075,25.11,Clear,False
2023-01-02,Noida,Spicy Chicken Samosa,75,30,2250,27.69,Clear,False
2023-01-02,Noida,Chocolate Fusion Samosa,24,45,1080,45.58,Clear,False
2023-01-02,Gurugram,Classic Potato Samosa,183,15,2745,19.62,Rainy,False
2023-01-02,Gurugram,Paneer Tikka Samosa,114,25,2850,22.85,Clear,False
2023-01-02,Gurugram,Spicy Chicken Samosa,236,30,7080,29.11,Rainy,False
2023-01-02,Gurugram,Chocolate Fusion Samosa,11,45,495,46.81,Clear,False
2023-01-03,South Delhi,Classic Potato Samosa,222,15,3330,12.42,Rainy,False
2023-01-03,South Delhi,Paneer Tikka Samosa,182,25,4550,22.42,Clear,False
2023-01-03,South Delhi,Spicy Chicken Samosa,135,30,4050,31.34,Clear,False
2023-01-03,South Delhi,Chocolate Fusion Samosa,31,45,1395,45.08,Clear,False
2023-01-03,North Delhi,Classic Potato Samosa,167,15,2505,16.78,Clear,False
2023-01-03,North Delhi,Paneer Tikka Samosa,123,25,3075,23.49,Rainy,False
2023-01-03,North Delhi,Spicy Chicken Samosa,156,30,4680,28.87,Clear,False
2023-01-03,North Delhi,Chocolate Fusion Samosa,15,45,675,41.13,Clear,False
2023-01-03,West Delhi,Classic Potato Samosa,93,15,1395,12.29,Clear,False
2023-01-03,West Delhi,Paneer Tikka Samosa,84,25,2100,25.3,Clear,False
2023-01-03,West Delhi,Spicy Chicken Samosa,139,30,4170,30.58,Rainy,True
2023-01-03,West Delhi,Chocolate Fusion Samosa,35,45,1575,47.26,Clear,False
2023-01-03,Noida,Classic Potato Samosa,67,15,1005,18.88,Clear,False
2023-01-03,Noida,Paneer Tikka Samosa,241,25,6025,26.69,Clear,True
2023-01-03,Noida,Spicy Chicken Samosa,269,30,8070,34.74,Rainy,False
2023-01-03,Noida,Chocolate Fusion Samosa,23,45,1035,46.52,Clear,False
2023-01-03,Gurugram,Classic Potato Samosa,117,15,1755,14.94,Clear,False
2023-01-03,Gurugram,Paneer Tikka Samosa,126,25,3150,28.49,Clear,False
2023-01-03,Gurugram,Spicy Chicken Samosa,85,30,2550,30.09,Clear,False
2023-01-03,Gurugram,Chocolate Fusion Samosa,35,45,1575,49.79,Clear,False
2023-01-04,South Delhi,Classic Potato Samosa,156,15,2340,17.95,Clear,False
2023-01-04,South Delhi,Paneer Tikka Samosa,123,25,3075,28.64,Clear,False
2023-01-04,South Delhi,Spicy Chicken Samosa,171,30,5130,32.69,Clear,False
2023-01-04,South Delhi,Chocolate Fusion Samosa,52,45,2340,49.15,Rainy,True
2023-01-04,North Delhi,Classic Potato Samosa,269,15,4035,13.31,Rainy,False
2023-01-04,North Delhi,Paneer Tikka Samosa,259,25,6475,28.53,Rainy,True
2023-01-04,North Delhi,Spicy Chicken Samosa,145,30,4350,27.68,Clear,False
2023-01-04,North Delhi,Chocolate Fusion Samosa,40,45,1800,46.96,Rainy,False
2023-01-04,West Delhi,Classic Potato Samosa,123,15,1845,19.9,Clear,False
2023-01-04,West Delhi,Paneer Tikka Samosa,149,25,3725,23.23,Clear,False
2023-01-04,West Delhi,Spicy Chicken Samosa,106,30,3180,30.53,Clear,False
2023-01-04,West Delhi,Chocolate Fusion Samosa,35,45,1575,46.12,Clear,False
2023-01-04,Noida,Classic Potato Samosa,141,15,2115,17.98,Clear,False
2023-01-04,Noida,Paneer Tikka Samosa,148,25,3700,20.51,Clear,False
2023-01-04,Noida,Spicy Chicken Samosa,176,30,5280,29.38,Clear,False
2023-01-04,Noida,Chocolate Fusion Samosa,33,45,1485,49.82,Clear,False
2023-01-04,Gurugram,Classic Potato Samosa,92,15,1380,10.37,Clear,False
2023-01-04,Gurugram,Paneer Tikka Samosa,154,25,3850,23.27,Clear,False
2023-01-04,Gurugram,Spicy Chicken Samosa,74,30,2220,31.23,Clear,False
2023-01-04,Gurugram,Chocolate Fusion Samosa,13,45,585,45.41,Clear,False
2023-01-05,South Delhi,Classic Potato Samosa,162,15,2430,19.7,Clear,False
2023-01-05,South Delhi,Paneer Tikka Samosa,123,25,3075,24.34,Clear,False
2023-01-05,South Delhi,Spicy Chicken Samosa,166,30,4980,34.63,Clear,False
2023-01-05,South Delhi,Chocolate Fusion Samosa,20,45,900,49.15,Clear,False
2023-01-05,North Delhi,Classic Potato Samosa,107,15,1605,11.83,Clear,False
2023-01-05,North Delhi,Paneer Tikka Samosa,97,25,2425,25.54,Clear,True
2023-01-05,North Delhi,Spicy Chicken Samosa,92,30,2760,30.66,Clear,False
2023-01-05,North Delhi,Chocolate Fusion Samosa,11,45,495,40.92,Clear,False
2023-01-05,West Delhi,Classic Potato Samosa,174,15,2610,17.04,Rainy,False
2023-01-05,West Delhi,Paneer Tikka Samosa,162,25,4050,28.07,Clear,False
2023-01-05,West Delhi,Spicy Chicken Samosa,193,30,5790,28.99,Clear,False
2023-01-05,West Delhi,Chocolate Fusion Samosa,33,45,1485,43.75,Clear,False
2023-01-05,Noida,Classic Potato Samosa,123,15,1845,16.59,Rainy,False
2023-01-05,Noida,Paneer Tikka Samosa,96,25,2400,29.44,Rainy,False
2023-01-05,Noida,Spicy Chicken Samosa,256,30,7680,30.75,Rainy,False
2023-01-05,Noida,Chocolate Fusion Samosa,9,45,405,45.46,Clear,False
2023-01-05,Gurugram,Classic Potato Samosa,111,15,1665,19.05,Rainy,False
2023-01-05,Gurugram,Paneer Tikka Samosa,120,25,3000,23.77,Clear,False
2023-01-05,Gurugram,Spicy Chicken Samosa,109,30,3270,28.85,Clear,False
2023-01-05,Gurugram,Chocolate Fusion Samosa,7,45,315,46.93,Clear,False
2023-01-06,South Delhi,Classic Potato Samosa,193,15,2895,18.03,Clear,False
2023-01-06,South Delhi,Paneer Tikka Samosa,132,25,3300,28.07,Clear,False
2023-01-06,South Delhi,Spicy Chicken Samosa,152,30,4560,27.5,Clear,False
2023-01-06,South Delhi,Chocolate Fusion Samosa,43,45,1935,42.39,Clear,False
2023-01-06,North Delhi,Classic Potato Samosa,135,15,2025,11.03,Clear,False
2023-01-06,North Delhi,Paneer Tikka Samosa,85,25,2125,23.9,Clear,False
2023-01-06,North Delhi,Spicy Chicken Samosa,80,30,2400,25.11,Clear,False
2023-01-06,North Delhi,Chocolate Fusion Samosa,29,45,1305,46.77,Rainy,False
2023-01-06,West Delhi,Classic Potato Samosa,131,15,1965,14.48,Clear,False
2023-01-06,West Delhi,Paneer Tikka Samosa,192,25,4800,22.13,Clear,False
2023-01-06,West Delhi,Spicy Chicken Samosa,132,30,3960,25.91,Clear,False
2023-01-06,West Delhi,Chocolate Fusion Samosa,21,45,945,47.37,Clear,True
2023-01-06,Noida,Classic Potato Samosa,184,15,2760,11.43,Clear,False
2023-01-06,Noida,Paneer Tikka Samosa,223,25,5575,28.38,Rainy,False
2023-01-06,Noida,Spicy Chicken Samosa,123,30,3690,33.22,Clear,False
2023-01-06,Noida,Chocolate Fusion Samosa,11,45,495,45.81,Clear,False
2023-01-06,Gurugram,Classic Potato Samosa,148,15,2220,19.08,Clear,False
2023-01-06,Gurugram,Paneer Tikka Samosa,122,25,3050,20.84,Clear,False
2023-01-06,Gurugram,Spicy Chicken Samosa,143,30,4290,27.49,Clear,False
2023-01-06,Gurugram,Chocolate Fusion Samosa,14,45,630,44.05,Clear,False
2023-01-07,South Delhi,Classic Potato Samosa,208,15,3120,18.23,Clear,False
2023-01-07,South Delhi,Paneer Tikka Samosa,171,25,4275,29.62,Clear,False
2023-01-07,South Delhi,Spicy Chicken Samosa,218,30,6540,30.28,Clear,False
2023-01-07,South Delhi,Chocolate Fusion Samosa,46,45,2070,43.23,Clear,True
2023-01-07,North Delhi,Classic Potato Samosa,293,15,4395,10.74,Rainy,False
2023-01-07,North Delhi,Paneer Tikka Samosa,240,25,6000,21.66,Clear,False
2023-01-07,North Delhi,Spicy Chicken Samosa,159,30,4770,31.28,Clear,False
2023-01-07,North Delhi,Chocolate Fusion Samosa,45,45,2025,49.59,Rainy,False
2023-01-07,West Delhi,Classic Potato Samosa,105,15,1575,16.2,Clear,False
2023-01-07,West Delhi,Paneer Tikka Samosa,92,25,2300,23.88,Clear,False
2023-01-07,West Delhi,Spicy Chicken Samosa,177,30,5310,34.74,Clear,False
2023-01-07,West Delhi,Chocolate Fusion Samosa,42,45,1890,44.11,Clear,False
2023-01-07,Noida,Classic Potato Samosa,204,15,3060,19.11,Clear,False
2023-01-07,Noida,Paneer Tikka Samosa,134,25,3350,26.13,Clear,True
2023-01-07,Noida,Spicy Chicken Samosa,261,30,7830,30.52,Rainy,False
2023-01-07,Noida,Chocolate Fusion Samosa,43,45,1935,44.8,Clear,False
2023-01-07,Gurugram,Classic Potato Samosa,159,15,2385,13.93,Clear,False
2023-01-07,Gurugram,Paneer Tikka Samosa,245,25,6125,24.69,Rainy,False
2023-01-07,Gurugram,Spicy Chicken Samosa,240,30,7200,25.75,Clear,False
2023-01-07,Gurugram,Chocolate Fusion Samosa,34,45,1530,49.13,Clear,False
2023-01-08,South Delhi,Classic Potato Samosa,196,15,2940,18.5,Rainy,False
2023-01-08,South Delhi,Paneer Tikka Samosa,128,25,3200,22.51,Clear,False
2023-01-08,South Delhi,Spicy Chicken Samosa,183,30,5490,31.72,Clear,False
2023-01-08,South Delhi,Chocolate Fusion Samosa,11,45,495,46.72,Clear,False
2023-01-08,North Delhi,Classic Potato Samosa,188,15,2820,13.08,Rainy,False
2023-01-08,North Delhi,Paneer Tikka Samosa,185,25,4625,28.77,Clear,False
2023-01-08,North Delhi,Spicy Chicken Samosa,172,30,5160,29.21,Clear,False
2023-01-08,North Delhi,Chocolate Fusion Samosa,29,45,1305,41.36,Clear,False
2023-01-08,West Delhi,Classic Potato Samosa,238,15,3570,13.92,Clear,False
2023-01-08,West Delhi,Paneer Tikka Samosa,227,25,5675,25.47,Clear,False
2023-01-08,West Delhi,Spicy Chicken Samosa,237,30,7110,31.22,Clear,False
2023-01-08,West Delhi,Chocolate Fusion Samosa,51,45,2295,49.27,Clear,True
2023-01-08,Noida,Classic Potato Samosa,199,15,2985,10.46,Clear,False
2023-01-08,Noida,Paneer Tikka Samosa,89,25,2225,26.33,Clear,False
2023-01-08,Noida,Spicy Chicken Samosa,201,30,6030,26.28,Clear,False
2023-01-08,Noida,Chocolate Fusion Samosa,24,45,1080,41.82,Clear,False
2023-01-08,Gurugram,Classic Potato Samosa,238,15,3570,15.15,Rainy,False
2023-01-08,Gurugram,Paneer Tikka Samosa,131,25,3275,20.41,Clear,False
2023-01-08,Gurugram,Spicy Chicken Samosa,87,30,2610,25.32,Clear,False
2023-01-08,Gurugram,Chocolate Fusion Samosa,8,45,360,48.94,Clear,False
2023-01-09,South Delhi,Classic Potato Samosa,152,15,2280,10.39,Clear,False
2023-01-09,South Delhi,Paneer Tikka Samosa,149,25,3725,28.74,Clear,False
2023-01-09,South Delhi,Spicy Chicken Samosa,174,30,5220,33.68,Clear,False
2023-01-09,South Delhi,Chocolate Fusion Samosa,45,45,2025,45.37,Rainy,False
2023-01-09,North Delhi,Classic Potato Samosa,136,15,2040,13.69,Clear,False
2023-01-09,North Delhi,Paneer Tikka Samosa,178,25,4450,21.48,Clear,False
2023-01-09,North Delhi,Spicy Chicken Samosa,101,30,3030,32.5,Rainy,False
2023-01-09,North Delhi,Chocolate Fusion Samosa,13,45,585,42.69,Clear,False
2023-01-09,West Delhi,Classic Potato Samosa,100,15,1500,12.11,Clear,False
2023-01-09,West Delhi,Paneer Tikka Samosa,180,25,4500,23.43,Clear,False
2023-01-09,West Delhi,Spicy Chicken Samosa,96,30,2880,29.98,Clear,False
2023-01-09,West Delhi,Chocolate Fusion Samosa,24,45,1080,45.87,Clear,False
2023-01-09,Noida,Classic Potato Samosa,171,15,2565,19.0,Clear,False
2023-01-09,Noida,Paneer Tikka Samosa,146,25,3650,29.87,Clear,False
2023-01-09,Noida,Spicy Chicken Samosa,106,30,3180,28.65,Clear,False
2023-01-09,Noida,Chocolate Fusion Samosa,27,45,1215,40.56,Rainy,False
2023-01-09,Gurugram,Classic Potato Samosa,75,15,1125,14.1,Clear,False
2023-01-09,Gurugram,Paneer Tikka Samosa,232,25,5800,25.76,Rainy,True
2023-01-09,Gurugram,Spicy Chicken Samosa,225,30,6750,27.58,Rainy,False
2023-01-09,Gurugram,Chocolate Fusion Samosa,37,45,1665,44.77,Clear,False
2023-01-10,South Delhi,Classic Potato Samosa,146,15,2190,13.24,Clear,False
2023-01-10,South Delhi,Paneer Tikka Samosa,106,25,2650,25.3,Clear,False
2023-01-10,South Delhi,Spicy Chicken Samosa,78,30,2340,30.81,Clear,False
2023-01-10,South Delhi,Chocolate Fusion Samosa,12,45,540,43.69,Clear,False
2023-01-10,North Delhi,Classic Potato Samosa,76,15,1140,12.02,Clear,False
2023-01-10,North Delhi,Paneer Tikka Samosa,115,25,2875,26.82,Clear,False
2023-01-10,North Delhi,Spicy Chicken Samosa,85,30,2550,31.06,Clear,False
2023-01-10,North Delhi,Chocolate Fusion Samosa,27,45,1215,44.09,Clear,False
2023-01-10,West Delhi,Classic Potato Samosa,241,15,3615,10.66,Clear,True
2023-01-10,West Delhi,Paneer Tikka Samosa,115,25,2875,27.82,Clear,False
2023-01-10,West Delhi,Spicy Chicken Samosa,78,30,2340,26.64,Clear,False
2023-01-10,West Delhi,Chocolate Fusion Samosa,11,45,495,45.23,Clear,False
2023-01-10,Noida,Classic Potato Samosa,68,15,1020,16.83,Clear,False
2023-01-10,Noida,Paneer Tikka Samosa,157,25,3925,24.63,Clear,False
2023-01-10,Noida,Spicy Chicken Samosa,113,30,3390,30.77,Clear,False
2023-01-10,Noida,Chocolate Fusion Samosa,6,45,270,40.67,Clear,False
2023-01-10,Gurugram,Classic Potato Samosa,130,15,1950,13.33,Clear,False
2023-01-10,Gurugram,Paneer Tikka Samosa,130,25,3250,27.94,Clear,False
2023-01-10,Gurugram,Spicy Chicken Samosa,101,30,3030,30.73,Clear,False
2023-01-10,Gurugram,Chocolate Fusion Samosa,13,45,585,47.79,Clear,False
2023-01-11,South Delhi,Classic Potato Samosa,127,15,1905,17.62,Clear,False
2023-01-11,South Delhi,Paneer Tikka Samosa,268,25,6700,21.11,Rainy,False
2023-01-11,South Delhi,Spicy Chicken Samosa,232,30,6960,30.02,Clear,False
2023-01-11,South Delhi,Chocolate Fusion Samosa,14,45,630,47.72,Clear,False
2023-01-11,North Delhi,Classic Potato Samosa,98,15,1470,15.43,Clear,False
2023-01-11,North Delhi,Paneer Tikka Samosa,167,25,4175,29.59,Rainy,False
2023-01-11,North Delhi,Spicy Chicken Samosa,113,30,3390,27.88,Clear,False
2023-01-11,North Delhi,Chocolate Fusion Samosa,22,45,990,42.56,Clear,False
2023-01-11,West Delhi,Classic Potato Samosa,141,15,2115,19.19,Clear,False
2023-01-11,West Delhi,Paneer Tikka Samosa,105,25,2625,21.53,Clear,True
2023-01-11,West Delhi,Spicy Chicken Samosa,183,30,5490,25.77,Clear,False
2023-01-11,West Delhi,Chocolate Fusion Samosa,21,45,945,41.23,Rainy,False
2023-01-11,Noida,Classic Potato Samosa,91,15,1365,18.37,Clear,False
2023-01-11,Noida,Paneer Tikka Samosa,65,25,1625,25.91,Clear,False
2023-01-11,Noida,Spicy Chicken Samosa,91,30,2730,27.06,Clear,False
2023-01-11,Noida,Chocolate Fusion Samosa,32,45,1440,44.15,Clear,False
2023-01-11,Gurugram,Classic Potato Samosa,271,15,4065,13.47,Clear,True
2023-01-11,Gurugram,Paneer Tikka Samosa,161,25,4025,20.33,Clear,True
2023-01-11,Gurugram,Spicy Chicken Samosa,130,30,3900,26.66,Clear,False
2023-01-11,Gurugram,Chocolate Fusion Samosa,6,45,270,46.32,Clear,False
2023-01-12,South Delhi,Classic Potato Samosa,120,15,1800,19.76,Clear,False
2023-01-12,South Delhi,Paneer Tikka Samosa,214,25,5350,25.35,Rainy,False
2023-01-12,South Delhi,Spicy Chicken Samosa,152,30,4560,28.97,Clear,False
2023-01-12,South Delhi,Chocolate Fusion Samosa,43,45,1935,41.91,Clear,False
2023-01-12,North Delhi,Classic Potato Samosa,171,15,2565,15.87,Rainy,False
2023-01-12,North Delhi,Paneer Tikka Samosa,65,25,1625,25.24,Clear,False
2023-01-12,North Delhi,Spicy Chicken Samosa,183,30,5490,32.65,Clear,False
2023-01-12,North Delhi,Chocolate Fusion Samosa,6,45,270,47.53,Clear,False
2023-01-12,West Delhi,Classic Potato Samosa,76,15,1140,14.09,Clear,False
2023-01-12,West Delhi,Paneer Tikka Samosa,371,25,9275,28.67,Rainy,True
2023-01-12,West Delhi,Spicy Chicken Samosa,74,30,2220,27.31,Clear,False
2023-01-12,West Delhi,Chocolate Fusion Samosa,15,45,675,41.79,Clear,False
2023-01-12,Noida,Classic Potato Samosa,189,15,2835,18.05,Clear,False
2023-01-12,Noida,Paneer Tikka Samosa,249,25,6225,28.3,Rainy,False
2023-01-12,Noida,Spicy Chicken Samosa,228,30,6840,29.06,Clear,True
2023-01-12,Noida,Chocolate Fusion Samosa,26,45,1170,47.36,Clear,False
2023-01-12,Gurugram,Classic Potato Samosa,174,15,2610,15.83,Clear,False
2023-01-12,Gurugram,Paneer Tikka Samosa,198,25,4950,26.25,Rainy,False
2023-01-12,Gurugram,Spicy Chicken Samosa,78,30,2340,30.9,Clear,False
2023-01-12,Gurugram,Chocolate Fusion Samosa,31,45,1395,45.52,Clear,False
2023-01-13,South Delhi,Classic Potato Samosa,229,15,3435,19.75,Clear,False
2023-01-13,South Delhi,Paneer Tikka Samosa,113,25,2825,29.85,Clear,False
2023-01-13,South Delhi,Spicy Chicken Samosa,212,30,6360,25.22,Clear,False
2023-01-13,South Delhi,Chocolate Fusion Samosa,20,45,900,42.58,Clear,False
2023-01-13,North Delhi,Classic Potato Samosa,129,15,1935,15.26,Rainy,False
2023-01-13,North Delhi,Paneer Tikka Samosa,191,25,4775,29.14,Clear,False
2023-01-13,North Delhi,Spicy Chicken Samosa,174,30,5220,25.67,Clear,False
2023-01-13,North Delhi,Chocolate Fusion Samosa,37,45,1665,41.07,Clear,False
2023-01-13,West Delhi,Classic Potato Samosa,245,15,3675,18.74,Rainy,False
2023-01-13,West Delhi,Paneer Tikka Samosa,115,25,2875,24.94,Clear,False
2023-01-13,West Delhi,Spicy Chicken Samosa,115,30,3450,28.83,Clear,True
2023-01-13,West Delhi,Chocolate Fusion Samosa,7,45,315,40.83,Clear,False
2023-01-13,Noida,Classic Potato Samosa,110,15,1650,18.37,Clear,False
2023-01-13,Noida,Paneer Tikka Samosa,78,25,1950,22.97,Clear,False
2023-01-13,Noida,Spicy Chicken Samosa,288,30,8640,34.54,Clear,True
2023-01-13,Noida,Chocolate Fusion Samosa,11,45,495,45.4,Clear,False
2023-01-13,Gurugram,Classic Potato Samosa,171,15,2565,14.96,Clear,False
2023-01-13,Gurugram,Paneer Tikka Samosa,191,25,4775,23.44,Clear,False
2023-01-13,Gurugram,Spicy Chicken Samosa,115,30,3450,31.88,Clear,False
2023-01-13,Gurugram,Chocolate Fusion Samosa,52,45,2340,47.99,Rainy,False
2023-01-14,South Delhi,Classic Potato Samosa,272,15,4080,11.03,Clear,True
2023-01-14,South Delhi,Paneer Tikka Samosa,253,25,6325,27.9,Rainy,False
2023-01-14,South Delhi,Spicy Chicken Samosa,206,30,6180,30.42,Clear,False
2023-01-14,South Delhi,Chocolate Fusion Samosa,62,45,2790,46.59,Rainy,False
2023-01-14,North Delhi,Classic Potato Samosa,209,15,3135,14.89,Clear,False
2023-01-14,North Delhi,Paneer Tikka Samosa,104,25,2600,26.7,Clear,False
2023-01-14,North Delhi,Spicy Chicken Samosa,184,30,5520,26.81,Rainy,False
2023-01-14,North Delhi,Chocolate Fusion Samosa,63,45,2835,46.97,Clear,True
2023-01-14,West Delhi,Classic Potato Samosa,94,15,1410,14.22,Clear,False
2023-01-14,West Delhi,Paneer Tikka Samosa,323,25,8075,28.45,Rainy,False
2023-01-14,West Delhi,Spicy Chicken Samosa,108,30,3240,31.5,Clear,False
2023-01-14,West Delhi,Chocolate Fusion Samosa,11,45,495,48.85,Clear,False
2023-01-14,Noida,Classic Potato Samosa,149,15,2235,10.65,Clear,False
2023-01-14,Noida,Paneer Tikka Samosa,104,25,2600,26.62,Clear,False
2023-01-14,Noida,Spicy Chicken Samosa,141,30,4230,31.16,Rainy,False
2023-01-14,Noida,Chocolate Fusion Samosa,61,45,2745,40.0,Rainy,False
2023-01-14,Gurugram,Classic Potato Samosa,141,15,2115,17.99,Rainy,False
2023-01-14,Gurugram,Paneer Tikka Samosa,143,25,3575,20.89,Clear,False
2023-01-14,Gurugram,Spicy Chicken Samosa,180,30,5400,33.74,Clear,False
2023-01-14,Gurugram,Chocolate Fusion Samosa,47,45,2115,47.32,Clear,False
2023-01-15,South Delhi,Classic Potato Samosa,191,15,2865,12.87,Clear,False
2023-01-15,South Delhi,Paneer Tikka Samosa,228,25,5700,22.77,Clear,False
2023-01-15,South Delhi,Spicy Chicken Samosa,298,30,8940,28.84,Clear,True
2023-01-15,South Delhi,Chocolate Fusion Samosa,21,45,945,47.86,Rainy,False
2023-01-15,North Delhi,Classic Potato Samosa,209,15,3135,18.84,Rainy,False
2023-01-15,North Delhi,Paneer Tikka Samosa,222,25,5550,21.67,Clear,False
2023-01-15,North Delhi,Spicy Chicken Samosa,164,30,4920,33.38,Clear,False
2023-01-15,North Delhi,Chocolate Fusion Samosa,40,45,1800,40.47,Clear,False
2023-01-15,West Delhi,Classic Potato Samosa,172,15,2580,17.8,Clear,False
2023-01-15,West Delhi,Paneer Tikka Samosa,89,25,2225,22.16,Clear,False
2023-01-15,West Delhi,Spicy Chicken Samosa,197,30,5910,26.74,Rainy,True
2023-01-15,West Delhi,Chocolate Fusion Samosa,50,45,2250,48.97,Rainy,False
2023-01-15,Noida,Classic Potato Samosa,240,15,3600,15.37,Clear,False
2023-01-15,Noida,Paneer Tikka Samosa,277,25,6925,24.57,Rainy,False
2023-01-15,Noida,Spicy Chicken Samosa,170,30,5100,33.89,Clear,False
2023-01-15,Noida,Chocolate Fusion Samosa,13,45,585,46.55,Rainy,False
2023-01-15,Gurugram,Classic Potato Samosa,87,15,1305,12.53,Clear,False
2023-01-15,Gurugram,Paneer Tikka Samosa,141,25,3525,24.96,Clear,False
2023-01-15,Gurugram,Spicy Chicken Samosa,290,30,8700,33.94,Clear,True
2023-01-15,Gurugram,Chocolate Fusion Samosa,47,45,2115,45.16,Rainy,False
2023-01-16,South Delhi,Classic Potato Samosa,166,15,2490,15.44,Clear,False
2023-01-16,South Delhi,Paneer Tikka Samosa,275,25,6875,27.97,Rainy,False
2023-01-16,South Delhi,Spicy Chicken Samosa,138,30,4140,26.6,Clear,False
2023-01-16,South Delhi,Chocolate Fusion Samosa,32,45,1440,41.06,Rainy,False
2023-01-16,North Delhi,Classic Potato Samosa,98,15,1470,18.81,Clear,False
2023-01-16,North Delhi,Paneer Tikka Samosa,194,25,4850,20.05,Rainy,False
2023-01-16,North Delhi,Spicy Chicken Samosa,105,30,3150,26.61,Clear,False
2023-01-16,North Delhi,Chocolate Fusion Samosa,7,45,315,40.06,Clear,False
2023-01-16,West Delhi,Classic Potato Samosa,188,15,2820,15.6,Clear,False
2023-01-16,West Delhi,Paneer Tikka Samosa,187,25,4675,28.19,Clear,False
2023-01-16,West Delhi,Spicy Chicken Samosa,154,30,4620,29.32,Clear,False
2023-01-16,West Delhi,Chocolate Fusion Samosa,37,45,1665,49.37,Clear,True
2023-01-16,Noida,Classic Potato Samosa,263,15,3945,11.66,Rainy,False
2023-01-16,Noida,Paneer Tikka Samosa,79,25,1975,23.46,Clear,False
2023-01-16,Noida,Spicy Chicken Samosa,252,30,7560,34.9,Rainy,False
2023-01-16,Noida,Chocolate Fusion Samosa,20,45,900,47.58,Clear,False
2023-01-16,Gurugram,Classic Potato Samosa,101,15,1515,13.72,Rainy,False
2023-01-16,Gurugram,Paneer Tikka Samosa,105,25,2625,24.46,Clear,False
2023-01-16,Gurugram,Spicy Chicken Samosa,172,30,5160,26.02,Rainy,False
2023-01-16,Gurugram,Chocolate Fusion Samosa,24,45,1080,42.21,Clear,False
2023-01-17,South Delhi,Classic Potato Samosa,79,15,1185,11.31,Clear,False
2023-01-17,South Delhi,Paneer Tikka Samosa,271,25,6775,24.32,Clear,True
2023-01-17,South Delhi,Spicy Chicken Samosa,229,30,6870,34.65,Rainy,True
2023-01-17,South Delhi,Chocolate Fusion Samosa,45,45,2025,43.21,Clear,False
2023-01-17,North Delhi,Classic Potato Samosa,113,15,1695,10.31,Clear,False
2023-01-17,North Delhi,Paneer Tikka Samosa,96,25,2400,24.72,Clear,False
2023-01-17,North Delhi,Spicy Chicken Samosa,148,30,4440,33.69,Clear,True
